question,rouge_l,faithful,nli_score,citation_accuracy,source_recall,mrr,total_time,is_correct
"What is the maximum number of musical instruments allowed as checked baggage in Economy Class, according to CloudWay 24's Special Baggage Policy?",0.10169491525423728,True,1.0,1.0,0.5714285714285714,1.0,26.200121879577637,False
"What is the typical seating capacity for First Class on an Airbus A380, and how many seats can be configured in all-economy layout?",0.3255813953488372,True,1.0,1.0,0.3333333333333333,0.5,37.89303278923035,True
"How does the cab policy determine eligibility for home pick-up and drop-off services, and what are the specific criteria for crew members residing within a 25 km radius of the hub airport?",0.4791666666666667,True,1.0,1.0,0.75,1.0,27.472990036010742,True
What is the typical processing time for most cross-border transfers through ZX Bank's payment rails?,0.32,True,1.0,1.0,0.75,1.0,21.435193300247192,True
What amenities and services are available for young flyers (CloudSaver and above) to ensure their comfort during the flight?,0.4912280701754386,True,1.0,1.0,0.16666666666666666,0.25,19.310724020004272,True
"What is the specific date range for which airline restrictions on special baggage apply due to local laws, and how can I pre-arrange my special baggage?",0.1,False,0.0,1.0,0.6666666666666666,1.0,21.41938543319702,False
"What steps would you take to verify the IFSC code for a specific branch in North Ahmedabad, such as 21, Naranpura Main Road, Naranpura, and what information would you need to access this detail?",0.21782178217821782,True,1.0,1.0,0.75,1.0,54.31319713592529,False
"What is the recommended sequence of cabin upgrades with CloudWay 24, assuming a passenger starts in Economy (CloudSaver) and wants to experience the highest level of service?",0.26666666666666666,True,1.0,1.0,0.2857142857142857,1.0,47.51330757141113,False
"What is the minimum passport validity required for travel to Schengen (Europe) countries, compared to other international destinations?",0.37974683544303794,True,1.0,1.0,0.25,0.5,26.472877979278564,True
"How do the addresses of the Indian Institute of T echnology (IIT) at Patna and the Indian Institute of Management Lucknow (IIML) differ, and what are the contact numbers for these institutions?",0.038461538461538464,False,0.0,1.0,1.0,0.16666666666666666,15.786991834640503,False
"What are the differences in contact numbers between the Pune and Nepal branches, and how might these differences impact customer service experiences in each region?",0.07407407407407407,False,0.0,1.0,0.6,0.25,33.85418510437012,False
"What are the key differences in the product comparisons offered by ASK Zia on the website versus WhatsApp, and how does the A350's CloudLux cabin compare to the CloudComfort cabin in terms of seating configuration and features?",0.027777777777777776,False,0.0,1.0,0.4,0.25,44.2672324180603,False
"What are the key features of ZX Bank Bike Loan, and how does it cater to different customer segments such as women applicants and rural borrowers?",0.3194444444444445,True,1.0,1.0,0.16666666666666666,0.25,39.4454071521759,True
"How does the Personal Relationship Manager Assistant Program ensure compliance and keep customers informed, and what are the specific features that facilitate this?",0.05128205128205128,False,0.0,1.0,0.5,0.2,17.943376779556274,False
What are the IFSC codes and contact numbers for the branches located in West Visakhapatnam and East Visakhapatnam?,0.5,True,1.0,1.0,0.3333333333333333,0.25,54.47881889343262,True
"Which branches are located in 12-1-345, Maddilapalem Main Road, Maddilapalem and 5-72-1, Gajuwaka Junction, Opp. RTC Complex?",0.36000000000000004,True,1.0,1.0,0.2,0.25,53.40701866149902,True
"What are the responsibilities and qualifications for the Aircraft Maintenance Engineer (AME) role at CloudWay 24, and how do these align with the company's commitment to ensuring safety and security procedures are executed as per global aviation standards?",0.037383177570093455,False,0.0,1.0,0.8,1.0,25.156208992004395,False
"How does the package and benefits offered to the Junior Manager – Administration role at CloudWay 24 compare to those offered to the Senior Manager – Administration role, and what are the responsibilities of each?",0.5454545454545455,True,1.0,1.0,0.25,0.5,60.28928351402283,True
"What are the IFSC codes and contact numbers for the branches located in Central, North, and South Ahmedabad, and how do these compare in terms of their geographical distribution?",0.26229508196721313,True,1.0,1.0,0.5,0.3333333333333333,91.21504974365234,False
"What are the contact numbers for the ZX Bank branches located in Ahmedabad and Sri Lanka, and how do customers apply for a personal loan in both countries?",0.06185567010309278,False,0.0,1.0,0.6666666666666666,1.0,28.265312910079956,False
How does ZX Bank House Loan differ from CloudWay 24 in terms of customer support and what are the key features of ZX Bank House Loan?,0.02247191011235955,False,0.0,1.0,0.3333333333333333,0.25,10.614534139633179,False
"How do the special meal requests and beverage pairings differ across CloudLux, CloudSaver, and CloudWay 24, and what are the benefits of using co-brand credit cards for these services?",0.04651162790697675,False,0.0,1.0,1.0,1.0,14.342292547225952,False
"What are the contact numbers for the branches located at 7, Naroda Road, Hansol and 711, Shyamal Cross Road, Vasna?",0.19999999999999998,True,1.0,1.0,0.25,1.0,50.633519411087036,False
"How many ZX Bank branches are there in each of the major regions of Patna, and what is the distribution of these branches across North, South, East, West, and Central Patna?",0.30434782608695654,True,1.0,1.0,0.0,0.0,32.625324726104736,True
"How does the ASK Zia service differ in terms of personal financial insights and language support compared to the A350's cabin features, and what are the privacy and security measures in place for both?",0.03921568627450981,False,0.0,1.0,0.0,0.0,15.762849569320679,False
"What are the eligibility criteria for the Armed Forces discount program, and how can one access the 'Plan My Flight' feature?",0.40322580645161293,True,1.0,1.0,0.0,0.0,40.1242516040802,True
"How does ZX Bank Bike Loan ensure transparency in the loan process, and what is the process for applying for a bike loan through the mobile app or at a branch?",0.30769230769230765,True,1.0,1.0,0.0,0.0,63.69295573234558,True
"What are the steps one must take to sign up for the Armed Forces discount program, and what are the requirements for serving personnel?",0.22857142857142856,True,1.0,1.0,0.0,0.0,25.219581127166748,False
