question,expected_answer,generated_answer,confidence,reliable,response_time,sources,source_list,similarity_score,category,question_type,status
"How does CloudWay 24's seating configuration in the Boeing 787 Dreamliner accommodate passengers with varying levels of comfort, considering factors such as personal space and amenities?","CloudWay 24's seating configuration is designed to cater to different passenger preferences by offering various cabin classes with distinct features. The CloudLux class provides 8 seats configured in a 1-2-1 layout, offering ample legroom and privacy due to the lie-flat suites with individual doors. In contrast, the CloudComfort class has 40 seats arranged in a 2-3-2 configuration, providing more space between rows but less personal attention compared to CloudLux.","CloudWay 24's seating configuration in the Boeing 787 Dreamliner accommodates passengers with varying levels of comfort by offering different cabin classes: CloudLux for First Class, CloudElite, CloudComfort, and CloudSaver. [5] The detailed breakdown of class-wise cabin features as configured for CloudWay 24’s international long-haul service includes:

- **CloudLux (First Class)**: Seating in a 1-2-1 configuration with 8 seats. Features include:
  - Seating: 180° lie-flat suites with privacy doors.
  - Amenities: Personal wardrobe, luxury amenity kit, plush duvet & pillow.
  - Entertainment: 22-inch HD screen, noise-cancelling headphones.
  - Dining: Gourmet à la carte dining, exclusive fine wines & spirits.
  - Other: Priority boarding, chauffeur service (select).

- **CloudElite**: Seating in a 1-2-",0.5,True,84.14755249023438,5,"[{'index': 1, 'document': 'Boeing 787 Dreamliner.pptx', 'section': 'Slide 2', 'page': 2, 'chunk_id': '3f73e4a8cc932f73'}, {'index': 2, 'document': 'Boeing 787 Dreamliner.md', 'section': 'Boeing 787 Dreamliner – CloudWay 24 Fleet Overview', 'page': None, 'chunk_id': '6a12d3599fff4ab6'}, {'index': 3, 'document': 'Boeing 787 Dreamliner.pptx', 'section': 'Slide 1', 'page': 1, 'chunk_id': '4b2b6f66ca5c4f81'}]",0.38596491228070173,aircraft,explanatory,success
What is the typical seating capacity configuration for CloudWay 24's international long-haul service on a Boeing 787 Dreamliner?,"The typical seating capacity configuration for CloudWay 24's international long-haul service on a Boeing 787 Dreamliner is 290 seats, with a breakdown of class-wise cabin features as follows: CloudLux (8 seats), CloudElite (32 seats), and CloudComfort (40 seats).",The Boeing 787 Dreamliner configured for CloudWay 24’s international long-haul service operates with a seating capacity of 290 seats (Typical CloudWay 24 configuration). [1],0.5,True,25.04325819015503,5,"[{'index': 1, 'document': 'Boeing 787 Dreamliner.pptx', 'section': 'Slide 2', 'page': 2, 'chunk_id': '3f73e4a8cc932f73'}, {'index': 2, 'document': 'Boeing 787 Dreamliner.md', 'section': 'Boeing 787 Dreamliner – CloudWay 24 Fleet Overview', 'page': None, 'chunk_id': '6a12d3599fff4ab6'}, {'index': 3, 'document': 'Boeing 787 Dreamliner.html', 'section': 'Boeing 787\nDreamliner – CloudWay 24 Fleet Overview', 'page': None, 'chunk_id': 'a8a46dcbe54d9e22'}]",0.4166666666666667,aircraft,factual,success
"What are the key features and services available in the Premium Economy class on the Boeing 787 Dreamliner, specifically CloudComfort?","The Premium Economy class on the Boeing 787 Dreamliner offers wider seats with extra legroom (38” pitch), deeper recline, an amenity kit, plush blanket & pillow, upgraded meal selection, complimentary beverage service, and priority boarding.",CloudComfort (Premium Economy) can be upgraded to CloudElite (Business Class). [1][3],0.5,True,17.420684814453125,5,"[{'index': 1, 'document': 'Upgrade Your Seat.pptx', 'section': 'Slide 3', 'page': 3, 'chunk_id': '487a70c8a9532e19'}, {'index': 2, 'document': 'Change Your Seat.docx', 'section': 'Change Your Seat with CloudWay 24 > How to Change Your Seat > 4. Choose Your Preferred Seat', 'page': None, 'chunk_id': '3189dc79c5243792'}, {'index': 3, 'document': 'Upgrade Your Seat.docx', 'section': 'Upgrade Your Seat with CloudWay 24 > Cabin Classes Available for Upgrade', 'page': None, 'chunk_id': '712b72845508aa5f'}]",0.029411764705882353,aircraft,listing,success
What is the primary distinction between Premium Economy (CloudComfort) and Economy Class (CloudSaver) seating configurations?,"The main difference lies in the seat pitch, with Premium Economy offering up to 38” of seat pitch compared to Economy Class's 31-33” seat pitch.",The primary distinction between Premium Economy (CloudComfort) and Economy Class (CloudSaver) seating configurations is that CloudSaver (Economy) can be upgraded to CloudComfort (Premium Economy). [2][3],0.5,True,26.872265577316284,5,"[{'index': 1, 'document': 'Upgrade Your Seat.md', 'section': 'Upgrade Your Seat with CloudWay 24 > Cabin Classes Available for Upgrade', 'page': None, 'chunk_id': '5ac824b7421374ee'}, {'index': 2, 'document': 'Upgrade Your Seat.docx', 'section': 'Upgrade Your Seat with CloudWay 24 > Cabin Classes Available for Upgrade', 'page': None, 'chunk_id': '0d154fa82b1752fc'}, {'index': 3, 'document': 'Upgrade Your Seat.html', 'section': 'Upgrade Your Seat with\nCloudWay 24 > Cabin Classes Available for\nUpgrade', 'page': None, 'chunk_id': '7cfa720e823f8452'}]",0.2,aircraft,definition,success
"How does the Airbus A380's double-deck design impact its seating capacity, particularly in relation to the different class configurations?","The Airbus A380's double-deck design allows for a significant increase in seating capacity, with a typical range of 500-575 passengers. This is achieved by dividing the aircraft into two decks: the main deck and the upper deck. The class configuration plays a crucial role in determining the actual seating capacity, as each class has its own specific number of seats. For example, the first-class section typically has only 8-14 seats, while the economy-class section can accommodate up to 450 passengers. This design allows airlines to optimize their seating capacity and passenger experience.","The Airbus A380's double-deck design impacts its seating capacity by allowing for a total of 500–575 passengers (can be configured for up to 853 in all-economy layout). This configuration is achieved through different class configurations, which include First Class with 8–14 seats, Business Class with 70–100 seats, Premium Economy with 50–55 seats, and Economy Class with 350–450 seats. [1][4]",0.5,True,60.0338020324707,5,"[{'index': 1, 'document': 'Airbus A380.pdf', 'section': '', 'page': 1, 'chunk_id': '97a39a5fdd6504e8'}, {'index': 2, 'document': 'Airbus A380.docx', 'section': 'Airbus A380: Overview & Cabin Features > Aircraft Overview: Airbus A380', 'page': None, 'chunk_id': 'ab951e379466f553'}, {'index': 3, 'document': 'Airbus A380.pptx', 'section': 'Slide 2', 'page': 2, 'chunk_id': '227567e2ef46ec29'}]",0.35294117647058826,aircraft,explanatory,success
"What is the recommended seating configuration for CloudLux (First Class) on the Airbus A350-900, and what are some of its key features?","The recommended seating configuration for CloudLux (First Class) on the Airbus A350-900 is 1-2-1. Some of its key features include fully enclosed private suites, lie-flat beds with luxury bedding, a personal 21” HD touchscreen entertainment system, gourmet on-demand dining, and direct aisle access.","The recommended seating configuration for CloudLux (First Class) on the Airbus A350-900 is 1-2-1 with a total of 8 seats. [1] Some of its key features include: fully enclosed private suites, lie-flat beds with luxury bedding, personal 21” HD touchscreen entertainment system, gourmet on-demand dining, direct aisle access, dedicated First Class lounge access, and personalized service with dedicated crew. [1]",0.5,True,39.264750242233276,5,"[{'index': 1, 'document': 'Airbus A350.pdf', 'section': '', 'page': 1, 'chunk_id': '8beb236002d9e7e6'}, {'index': 2, 'document': 'Change Your Seat.md', 'section': 'Change Your Seat with CloudWay 24 > How to Change Your Seat > 4. Choose Your Preferred Seat', 'page': None, 'chunk_id': '809df905dc225f7a'}, {'index': 3, 'document': 'Change Your Seat.docx', 'section': 'Change Your Seat with CloudWay 24 > How to Change Your Seat > 4. Choose Your Preferred Seat', 'page': None, 'chunk_id': '0c398895b142bde6'}]",0.9285714285714286,aircraft,process,success
What is the primary characteristic that sets the Airbus A350 apart from other long-haul aircraft in terms of its operational efficiency?,"The Airbus A350's advanced aerodynamics, which enable it to achieve significant fuel savings and reduce emissions.",The Airbus A350 is known for its advanced aerodynamics and fuel efficiency. [1][2],0.5,True,27.552018642425537,5,"[{'index': 1, 'document': 'Airbus A350.pptx', 'section': 'Slide 2', 'page': 2, 'chunk_id': 'bab12c51f0bac4e8'}, {'index': 2, 'document': 'Airbus A350.docx', 'section': 'Airbus A350 – CloudWay 24 Fleet Overview > Aircraft Overview', 'page': None, 'chunk_id': 'f879d4321b74002c'}, {'index': 3, 'document': 'Airbus A350.md', 'section': 'Airbus A350 – CloudWay 24 Fleet Overview > Aircraft Overview', 'page': None, 'chunk_id': '7a073cbf40bd984d'}]",0.3125,aircraft,definition,success
"What is the typical seating capacity for First Class on an Airbus A380, and how many seats can be configured in all-economy layout?","8-14 seats (typically), up to 853 seats (in all-economy layout)","The typical seating capacity for First Class on an Airbus A380 is 8–14 seats. [1][2]

In all-economy layout configuration, up to 853 passengers can be accommodated. [1]",0.5,True,40.18020009994507,5,"[{'index': 1, 'document': 'Airbus A380.pptx', 'section': 'Slide 3', 'page': 3, 'chunk_id': '6b05788c0aeff75d'}, {'index': 2, 'document': 'Airbus A380.pdf', 'section': '', 'page': 1, 'chunk_id': '97a39a5fdd6504e8'}, {'index': 3, 'document': 'Airbus A380.md', 'section': 'Airbus A380: Overview & Cabin Features > Seating Capacity', 'page': None, 'chunk_id': 'cf16558f1cc66211'}]",0.4444444444444444,aircraft,factual,success
"How does the Airbus A350's advanced aerodynamics contribute to its fuel efficiency, and what specific design features enable this optimization?","The Airbus A350's advanced aerodynamics are achieved through a combination of design features such as blended wing bodies, raked wingtips, and a high-bypass turbofan engine. These features reduce drag and increase lift, resulting in improved fuel efficiency. Additionally, the A350's aerodynamic design also enables the use of more efficient engine technologies, such as high-bypass engines, which further contribute to its fuel-saving capabilities.",I could not find reliable information in the available documentation.,0.0,False,25.54344391822815,0,[],0.0392156862745098,aircraft,explanatory,success
"How does the upgrade process from CloudSaver (Economy) to CloudLux (First Class) work, considering that each class has its own set of amenities and services?","The upgrade process from CloudSaver (Economy) to CloudLux (First Class) involves a multi-step approach. First, passengers must meet specific eligibility criteria, such as having a high-tier frequent flyer status or completing a minimum number of flights. Once eligible, they can request an upgrade through the airline's website or mobile app. If approved, they will be assigned a higher cabin class and enjoy upgraded amenities and services, including priority check-in, extra baggage allowance, gourmet meals, and lounge access.","The upgrade process from CloudSaver (Economy) to CloudLux (First Class) involves a sequential change of cabin classes as follows:
1. Upgrade from **CloudSaver (Economy)** to **CloudComfort (Premium Economy)**.
2. Then, upgrade from **CloudComfort (Premium Economy)** to **CloudElite (Business Class)**.
3. Finally, upgrade from **CloudElite (Business Class)** to **CloudLux (First Class)**.

[1][3]",0.5,True,30.554429531097412,5,"[{'index': 1, 'document': 'Upgrade Your Seat.pptx', 'section': 'Slide 3', 'page': 3, 'chunk_id': '487a70c8a9532e19'}, {'index': 2, 'document': 'How to Book a Flight.md', 'section': 'How to Book a Flight with CloudWay 24 > Step-by-Step Guide to Booking a Flight > 5. **Pick Your Cabin Class**', 'page': None, 'chunk_id': '62404b288a671ad9'}, {'index': 3, 'document': 'Upgrade Your Seat.md', 'section': 'Upgrade Your Seat with CloudWay 24 > Cabin Classes Available for Upgrade', 'page': None, 'chunk_id': '5ac824b7421374ee'}]",0.22058823529411764,cabin_features,explanatory,success
"How does the cab policy determine eligibility for home pick-up and drop-off services, and what are the specific criteria for crew members residing within a 25 km radius of the hub airport?","The cab policy determines eligibility for home pick-up and drop-off services based on the crew member's residence location. Crew members residing within a 25 km radius of the hub airport (Mumbai, Delhi, Bengaluru) are eligible for this service. This means that if a pilot or cabin crew member lives within this specific distance from their designated airport or accommodation, they can request home pick-up and drop-off services.","Crew residing within a 25 km radius of the hub airport (Mumbai, Delhi, Bengaluru) are eligible for home pick-up and drop-off. [1][3]",0.5,True,40.40274119377136,5,"[{'index': 1, 'document': 'Staff (Pilots and Cabin Crew) Cab Policy.docx', 'section': 'CloudWay 24 – Staff (Pilots and Cabin Crew) Cab Policy > Cab Coverage', 'page': None, 'chunk_id': 'ec2446c58916d635'}, {'index': 2, 'document': 'Staff (Pilots and Cabin Crew) Cab Policy.pptx', 'section': 'Slide 4', 'page': 4, 'chunk_id': '0d136af85a90bccf'}, {'index': 3, 'document': 'Staff (Pilots and Cabin Crew) Cab Policy.html', 'section': 'CloudWay 24\n– Staff (Pilots and Cabin Crew) Cab Policy > Cab Coverage', 'page': None, 'chunk_id': '64f7d637fc3a34ee'}]",0.38461538461538464,cabin_features,explanatory,success
"What is the recommended sequence of cabin upgrades with CloudWay 24, assuming a passenger starts in Economy (CloudSaver) and wants to experience the highest level of service?","First, upgrade to Premium Economy (CloudComfort), then to Business Class (CloudElite), and finally to the highest tier available for that class (e.g., Fir class if upgrading from CloudElite).",CloudSaver (Economy) → CloudComfort (Premium Economy) → CloudElite (Business Class). [1][2],0.5,True,28.111162900924683,5,"[{'index': 1, 'document': 'Upgrade Your Seat.pdf', 'section': '', 'page': 1, 'chunk_id': '5d2ad9e82ea92b39'}, {'index': 2, 'document': 'Upgrade Your Seat.md', 'section': 'Upgrade Your Seat with CloudWay 24', 'page': None, 'chunk_id': 'db6d76d572ad3c72'}, {'index': 3, 'document': 'Upgrade Your Seat.pptx', 'section': 'Slide 1', 'page': 1, 'chunk_id': '5fecfc0d485ad070'}]",0.0,cabin_features,process,success
"A pilot is scheduled to fly a layover flight from Delhi airport to Mumbai airport, but due to unexpected traffic congestion, the estimated travel time for the hotel-to-airport transfer exceeds 2 hours. What should the pilot do according to CloudWay 24's cab policy?",The pilot should contact the airline's ground transportation provider to arrange an alternative mode of transportation or seek assistance from a colleague who is closer to the airport.,I could not find reliable information in the available documentation.,0.0,False,25.815760850906372,0,[],0.041666666666666664,cabin_features,scenario,success
"How does the cab policy determine eligibility for home pick-up and drop-off services, specifically for pilots residing within a 25 km radius of the hub airport?","The cab policy determines eligibility for home pick-up and drop-off services by considering the residential location of pilots within a 25 km radius of the hub airport (Mumbai, Delhi, Bengaluru). This means that pilots living within this specific geographic area are eligible to have their homes picked up from or dropped off at the airport.","Crew residing within a 25 km radius of the hub airport (Mumbai, Delhi, Bengaluru) are eligible for home pick-up and drop-off. [1][3]",0.5,True,35.888774394989014,5,"[{'index': 1, 'document': 'Staff (Pilots and Cabin Crew) Cab Policy.docx', 'section': 'CloudWay 24 – Staff (Pilots and Cabin Crew) Cab Policy > Cab Coverage', 'page': None, 'chunk_id': 'ec2446c58916d635'}, {'index': 2, 'document': 'Staff (Pilots and Cabin Crew) Cab Policy.pptx', 'section': 'Slide 4', 'page': 4, 'chunk_id': '0d136af85a90bccf'}, {'index': 3, 'document': 'Staff (Pilots and Cabin Crew) Cab Policy.html', 'section': 'CloudWay 24\n– Staff (Pilots and Cabin Crew) Cab Policy > Cab Coverage', 'page': None, 'chunk_id': '64f7d637fc3a34ee'}]",0.3541666666666667,cabin_features,explanatory,success
"What is the primary difference between upgrading from CloudSaver (Economy) to CloudComfort (Premium Economy), and then again from CloudComfort to CloudElite (Business Class)?","The primary difference lies in the level of service and amenities provided, with each upgrade offering increasingly more premium features, such as priority check-in, extra baggage allowance, gourmet meals, and lounge access.","The primary difference between upgrading from CloudSaver (Economy) to CloudComfort (Premium Economy), and then again from CloudComfort to CloudElite (Business Class), is that CloudComfort upgrades directly to CloudElite (Business Class). [1][2]",0.5,True,25.464263439178467,5,"[{'index': 1, 'document': 'Upgrade Your Seat.md', 'section': 'Upgrade Your Seat with CloudWay 24 > Cabin Classes Available for Upgrade', 'page': None, 'chunk_id': '5ac824b7421374ee'}, {'index': 2, 'document': 'Upgrade Your Seat.docx', 'section': 'Upgrade Your Seat with CloudWay 24 > Cabin Classes Available for Upgrade', 'page': None, 'chunk_id': '712b72845508aa5f'}, {'index': 3, 'document': 'Upgrade Your Seat.pptx', 'section': 'Slide 3', 'page': 3, 'chunk_id': '487a70c8a9532e19'}]",0.13333333333333333,cabin_features,comparative,success
"What are the specific steps to take in order to change your seat on a flight using CloudWay 24's mobile app, and what information is required for each step?","To change your seat on a flight using CloudWay 24's mobile app, you need to log in with your registered email or mobile number, navigate to ""Manage My Flight"", enter your booking reference (PNR) and last name, find your upcoming journey from the list, click on ""Change your seat"" under your flight details, and then select your preferred seat option.",I could not find reliable information in the available documentation.,0.0,False,26.95664119720459,0,[],0.06382978723404255,cabin_features,process,success
What is the recommended method for logging into the CloudWay 24 website or mobile app to change seat preferences?,Logging in using your registered email or mobile number.,I could not find reliable information in the available documentation.,0.0,False,21.243470668792725,0,[],0.1111111111111111,cabin_features,factual,success
"What is the procedure for making an authorized cab ride, including any additional requirements or restrictions that may apply?","To make an authorized cab ride, crew members must ensure they are wearing their airline ID while in transit. The company will fully cover all authorized cab rides, with no cash exchange required. However, unauthorized personal deviations or additional stops are not covered and will require out-of-pocket payment.",I could not find reliable information in the available documentation.,0.0,False,22.914697885513306,0,[],0.06818181818181818,cabin_features,process,success
What is the primary purpose of CloudWay 24's Lounge Access program?,"The primary purpose of CloudWay 24's Lounge Access program is to provide a comfortable and luxurious pre-flight experience for premium guests, matching the level of cabin class they travel in.","CloudWay 24 offers exclusive lounge access for our premium guests, ensuring a comfortable and luxurious pre-flight experience at our main hubs and select international airports. Lounge access is designed to match the level of cabin class you travel in, offering everything from gourmet dining and private workspaces to shower facilities and entertainment. [1][2][3]",0.5,True,25.78548312187195,5,"[{'index': 1, 'document': 'Lounge Access.pptx', 'section': 'Slide 1', 'page': 1, 'chunk_id': '034057804a534f73'}, {'index': 2, 'document': 'Lounge Access.docx', 'section': 'CloudWay 24 Lounge Access Guide', 'page': None, 'chunk_id': '0c9fa8350b359168'}, {'index': 3, 'document': 'Lounge Access.md', 'section': 'CloudWay 24 Lounge Access Guide', 'page': None, 'chunk_id': '2661da2f96a658be'}]",0.7142857142857143,services,definition,success
"What is the specific protocol for reporting damaged baggage at the airport, and what information should be provided to support the claim?","Report immediately to the airline's customer service desk or baggage handling staff, and provide a detailed description of the damage, including photos or videos, as well as any relevant documentation such as receipts or proof of purchase.","The specific protocol for reporting damaged baggage at the airport involves two main steps:
1. Reporting immediately to the CloudWay 24 Baggage Service Desk before leaving the arrival hall. [1][2]
2. Filling out the Damaged Baggage Claim Form with our representative, which includes providing your boarding pass, bag tags, and a valid photo ID. [1]

After Leaving the Airport:
- Reporting damaged baggage after leaving requires reporting in writing within 7 days of receiving your baggage.
- Email: baggagesupport@cloudway24.com
- Include: Photos of the damage, baggage tag, travel details, and contact information. [1][2]",0.5,True,47.04049777984619,5,"[{'index': 1, 'document': 'Damaged Baggage Policy.pptx', 'section': 'Slide 4', 'page': 4, 'chunk_id': '44739f25c061691c'}, {'index': 2, 'document': 'Damaged Baggage Policy.pdf', 'section': '', 'page': 1, 'chunk_id': '0bd46195b6dcc7f5'}, {'index': 3, 'document': 'Damaged Baggage Policy.docx', 'section': 'Damaged Baggage Policy – CloudWay 24 > Reporting Damaged Baggage > At the Airport', 'page': None, 'chunk_id': 'e30c91f1eda27c32'}]",0.3548387096774194,services,process,success
